GT Program,Benchmark Info,Semantics,Question Selector,Correct?,Initial Synthesis Time,Active Learning Time,Initial Program Space Size,Final Program Space Size,Input Space Size,Question Space Size,Avg. Answer Space Size per Question,Avg. Prediction Set Size,# Rounds,Time Per Round
(fold max (apply pred_int input-img) (filter (curry ge 5) (map_imgs pred_int input-list))),,standard,LearnSy,True,2.0682222079485655,135.84648220892996,2143,31,100,448,7.330357142857143,2.5057471264367814,13,"[11.005137333180755, 11.211367458105087, 10.995883041992784, 10.915758125018328, 10.749274750007316, 10.876513167051598, 10.632279207929969, 10.474627499934286, 10.562710833037272, 10.463239749893546, 10.471221041167155, 10.290125333005562, 0.9930004579946399]"
(fold plus 0 (map (curry plus (apply pred_int input-img)) (map_imgs pred_int input-list))),,standard,LearnSy,True,1.8823352919425815,5.832173750037327,44,6,100,448,7.330357142857143,2.5057471264367814,7,"[0.6155399580020458, 0.016932958969846368, 0.01637750002555549, 0.016435875091701746, 0.015914625022560358, 0.01612608297728002, 0.01668249978683889]"
(length (filter (curry le (apply pred_int input-img)) (map_imgs pred_int input-list))),,standard,LearnSy,True,1.9331150827929378,7.135584707837552,84,6,100,448,7.330357142857143,2.5057471264367814,23,"[1.781086582923308, 0.036408749874681234, 0.014573959168046713, 0.014541458105668426, 0.01444549998268485, 0.014189833076670766, 0.014603291871026158, 0.014207125175744295, 0.014413167024031281, 0.014383875066414475, 0.014381082961335778, 0.014220083132386208, 0.014086874900385737, 0.01421933388337493, 0.014079708838835359, 0.01412375015206635, 0.014229290885850787, 0.014681791886687279, 0.016048707999289036, 0.015023916959762573, 0.014147999929264188, 0.014148999936878681, 0.014089332893490791]"
(fold mult 1 (map (curry mult 7) (map_imgs pred_int input-list))),,standard,LearnSy,True,1.8980394171085209,5.432757459115237,26,10,100,448,7.330357142857143,2.5057471264367814,1,[0.19204999995417893]
(length (filter (curry ge 4) (filter (curry le 8) (map_imgs pred_int input-list)))),,standard,LearnSy,FAIL,1.9831979998853058,5.123377207899466,37,4,100,448,7.330357142857143,2.5057471264367814,2,"[0.2935740000102669, 0.03948108293116093]"
(fold max 0 (filter (curry le 2) (map_imgs pred_int input-list))),,standard,LearnSy,True,1.941809375071898,91.76512787491083,1899,26,100,448,7.330357142857143,2.5057471264367814,12,"[12.409766249824315, 12.306244834093377, 12.203439624980092, 12.215763084124774, 12.085545042064041, 11.825419999891892, 11.715382124995813, 0.2848737919703126, 0.22119879187084734, 0.21914566704072058, 0.21566929202526808, 0.21513054217211902]"
(fold plus 0 (filter (curry ge 8) (map_imgs pred_int input-list))),,standard,LearnSy,FAIL,2.109882791992277,29.063527832971886,10371,4,100,448,7.330357142857143,2.5057471264367814,28,"[11.65542379184626, 0.5699556670151651, 0.5245863748714328, 0.5070490420330316, 0.501033958978951, 0.502849250100553, 0.4925524170976132, 0.49309849995188415, 0.48704354208894074, 0.47999566700309515, 0.48282470903359354, 0.4749902910552919, 0.47025329107418656, 0.46261795796453953, 0.4654641670640558, 0.4567340000066906, 0.4555343750398606, 0.4481627498753369, 0.44474529195576906, 0.4423992498777807, 0.43802466709166765, 0.43281441694125533, 0.4311361669097096, 0.4279229580424726, 0.42142100003547966, 0.41857195808552206, 0.4117770411539823, 0.42510250001214445]"
(fold max 0 (map (curry mult 2) (map_imgs pred_int input-list))),,standard,LearnSy,False,1.9903030002024025,4.996376333991066,21,1,100,448,7.330357142857143,2.5057471264367814,1,[0.1461424168664962]
(fold max 0 (map (curry mult 2) (filter (curry ge 5) (map_imgs pred_int input-list)))),,standard,LearnSy,FAIL,1.9363662919495255,355.03251541708596,1450,4,100,448,7.330357142857143,2.5057471264367814,32,"[13.437083541881293, 13.50358008290641, 13.135785792022943, 12.4811282500159, 12.373750541824847, 12.096141916001216, 11.854068790795282, 11.919735499890521, 12.876050292048603, 11.571672542020679, 11.029717500088736, 12.099340250017121, 11.119773667072877, 11.331515583908185, 10.616899291984737, 10.707708833971992, 10.376677708001807, 10.636262875050306, 10.516230749897659, 10.317054250044748, 10.384299041936174, 10.369300709106028, 10.170009749941528, 9.789548333035782, 9.940365208080038, 9.603808833053336, 9.6373905420769, 9.48069404088892, 9.338368666823953, 9.431239750003442, 8.994644042104483, 9.091190124861896]"
(length (filter (curry ge 1) (map_imgs pred_int input-list))),,standard,LearnSy,FAIL,2.09095845813863,75.15240399981849,3305,4,100,448,7.330357142857143,2.5057471264367814,28,"[7.431549832923338, 6.451737415976822, 3.628165083937347, 2.5344166248105466, 2.510461083147675, 2.47308591613546, 2.4515569580253214, 2.4249542499892414, 2.427514750044793, 2.3743004580028355, 2.3507883329875767, 2.330402708845213, 2.307083624880761, 2.280808041105047, 2.2535434579476714, 2.230493790935725, 2.181293874979019, 1.945330207934603, 1.878590333973989, 1.841569417156279, 1.8181218330282718, 1.802556499838829, 1.7764452081173658, 1.7478207091335207, 1.7368755829520524, 1.7208873331546783, 1.7192905000410974, 1.6780595420859754]"
