GT Program,Benchmark Info,Semantics,Delta,Avg. Per Component Pred. Set Size,Avg. Per Input Pred. Set Size,Question Selector,Correct?,Initial Synthesis Time,Active Learning Time,Initial Program Space Size,Final Program Space Size,# Rounds,Time Per Round,Initial Examples
"Intersection[IsObject(Face), Complement(Smile)]",wedding,CCE,0.45,1.2594312246082418,23.059374999999996,SmartLabel,True,7.826257240027189,14.900170471519232,348,8,2,"[11.80901424586773, 1.5452833846211433]","[('wedding/our-wedding_7669152422_o Medium.jpeg', {'1583', '1584'}), ('wedding/our-wedding_7668635930_o Medium.jpeg', {'935', '937'}), ('wedding/our-wedding_7667888240_o Medium.jpeg', set()), ('wedding/our-wedding_7667858606_o Medium.jpeg', {'16'})]"
"Union[IsObject(Glasses), Intersection[Smile, EyesOpen]]",wedding,CCE,0.45,1.2594312246082418,23.059375,SmartLabel,True,6.875805523246527,19.84049081802368,4417,2,3,"[9.869765859097242, 8.035453714430332, 1.558356698602438]","[('wedding/our-wedding_7669135388_o Medium.jpeg', {'1548', '1547'}), ('wedding/our-wedding_7669242588_o Medium.jpeg', {'1694'}), ('wedding/our-wedding_7668991988_o Medium.jpeg', {'1208', '1209', '1210'}), ('wedding/our-wedding_7667895274_o Medium.jpeg', {'139'}), ('wedding/our-wedding_7668639922_o Medium.jpeg', {'944', '945', '946', '947'})]"
"Map(Map(IsObject(Face), IsObject(Face), GetRight), IsObject(Face), GetRight)",wedding,CCE,0.45,1.259431224608242,23.059374999999996,SmartLabel,True,6.769093502312899,7.867142539471388,31,1,3,"[5.583439860492945, 1.5903473570942879, 0.5748803839087486]","[('wedding/our-wedding_7668901928_o Medium.jpeg', {'1046'}), ('wedding/our-wedding_7669405174_o Medium.jpeg', {'2025'}), ('wedding/our-wedding_7669027244_o Medium.jpeg', set()), ('wedding/our-wedding_7669031674_o Medium.jpeg', set()), ('wedding/our-wedding_7667900216_o Medium.jpeg', set())]"
"Union[EyesOpen, Intersection[IsObject(Face), Complement(MouthOpen)]]",wedding,CCE,0.45,1.259431224608242,23.059374999999996,SmartLabel,True,12.66437429189682,66.07611100003123,20748,1,7,"[19.64317401126027, 9.372477788478136, 9.746316116303205, 8.955902848392725, 9.023578222841024, 8.738854262977839, 0.4406699612736702]","[('wedding/our-wedding_7669386434_o Medium.jpeg', {'1995', '1996'}), ('wedding/our-wedding_7669009912_o Medium.jpeg', {'1255', '1254'}), ('wedding/our-wedding_7668981368_o Medium.jpeg', {'1180', '1183', '1182', '1184', '1185', '1181'}), ('wedding/our-wedding_7668991988_o Medium.jpeg', {'1209', '1210'}), ('wedding/our-wedding_7667858606_o Medium.jpeg', set()), ('wedding/our-wedding_7667886840_o Medium.jpeg', {'112', '113', '111'}), ('wedding/our-wedding_7669390412_o Medium.jpeg', {'2002', '2001'}), ('wedding/our-wedding_7668095250_o Medium.jpeg', {'597', '596', '595'}), ('wedding/our-wedding_7667888240_o Medium.jpeg', {'119'})]"
"Union[Smile, Map(Smile, IsObject(Face), GetRight)]",wedding,CCE,0.45,1.259431224608242,23.059374999999996,SmartLabel,True,11.91743841022253,11.30961787328124,53,1,3,"[9.868875171989202, 0.8793288879096508, 0.41774556040763855]","[('wedding/our-wedding_7667915946_o Medium.jpeg', {'198', '199'}), ('wedding/our-wedding_7668081866_o Medium.jpeg', {'516', '517', '518'}), ('wedding/our-wedding_7668587988_o Medium.jpeg', {'848', '850', '851'}), ('wedding/our-wedding_7667886840_o Medium.jpeg', {'112', '113', '111'}), ('wedding/our-wedding_7667897636_o Medium.jpeg', {'149'})]"
"Union[IsObject(Bride), Map(IsObject(Bride), IsObject(Face), GetLeft), Map(IsObject(Bride), IsObject(Face), GetRight)]",wedding,CCE,0.45,1.2594312246082415,23.059375,SmartLabel,True,7.088963188230991,9.440604992210865,53,1,2,"[7.498657904565334, 1.8096063658595085]","[('wedding/our-wedding_7668083094_o Medium.jpeg', {'522', '528', '530'}), ('wedding/our-wedding_7669081966_o Medium.jpeg', {'1449', '1448'}), ('wedding/our-wedding_7669245932_o Medium.jpeg', set()), ('wedding/our-wedding_7669146078_o Medium.jpeg', {'1567', '1568', '1565'})]"
"Union[IsObject(Car), IsObject(Bicycle)]",cars,CCE,0.45,1.2711610215369975,23.905620267909143,SmartLabel,True,9.473179552704096,9.605505678802729,5783,1,2,"[9.131753668189049, 0.45201460644602776]","[('cars/014_2938008229_o.jpg', {'1', '2', '0'}), ('cars/smartbikes--farragut-square_2733925626_o.jpg', {'1155', '1150', '1151'}), ('cars/7277639906_2f455d0a66_c.jpg', {'276', '275', '274'}), ('cars/look-up-from-your-smartphone_6824473546_o.jpg', {'913', '917'})]"
"Map(Intersection[Smile, EyesOpen], IsObject(Car), GetIsContained)",cars,CCE,0.45,1.2815875076958916,24.657838283828383,SmartLabel,True,5.493095051497221,18.267278145998716,1101,1,6,"[4.099735397845507, 4.1659219190478325, 3.7635010071098804, 2.9179185442626476, 2.895756524056196, 0.3638666048645973]","[('cars/n02958343_1902.JPEG', {'1034'}), ('cars/7283056644_e9ca3877d1_c.jpg', {'281'}), ('cars/bike-commuter-on-14th-st_6943659117_o.jpg', set()), ('cars/classic-car-rally-2008_2938842248_o.jpg', set()), ('cars/interesting-foldy-bike_5079464538_o.jpg', set()), ('cars/msa-classic-car-rally-2009_3942380148_o.jpg', set()), ('cars/7277639906_2f455d0a66_c.jpg', set()), ('cars/1957-chevrolet-bel-air_2938840328_o.jpg', set())]"
"Map(IsObject(Car), IsObject(Face), GetContains)",cars,CCE,0.45,1.290916468995955,25.330875455966652,SmartLabel,True,6.392293870449066,18.524780739098787,2028,1,5,"[8.611447650939226, 5.033155471086502, 4.381936818361282, 0.35295506194233894, 0.12328271567821503]","[('cars/classic-car-rally-2008_2938842248_o.jpg', {'665'}), ('cars/n02958343_1902.JPEG', {'1041', '1040'}), ('cars/commuter-with-a-capital-bikeshare-bike_5739859831_o.jpg', set()), ('cars/7277639906_2f455d0a66_c.jpg', set()), ('cars/bikeshare-bike-and-others_6970590645_o.jpg', set()), ('cars/5421932595_68f7ab545d_c.jpg', {'258'}), ('cars/7283056644_e9ca3877d1_c.jpg', {'286', '285'})]"
Complement(IsObject(Car)),cars,CCE,0.45,1.299312534166012,25.93660891089109,SmartLabel,FAIL,18.6256505548954,15.726900983601809,4519,4,1,[15.726835820823908],"[('cars/n02958343_1902.JPEG', {'1041', '1037', '1038', '1035', '1040', '1036', '1039'}), ('cars/smartbikes--farragut-square_2733925626_o.jpg', {'1153', '1152', '1150', '1151'}), ('cars/look-up-from-your-smartphone_6824473546_o.jpg', {'905', '912', '920', '910', '906', '907', '916', '911', '919', '908', '913', '914', '918', '904'})]"
"Complement(Union[IsObject(Car), IsObject(Bicycle)])",cars,CCE,0.45,1.3069089740817776,26.484653465346533,SmartLabel,True,3.5558860525488853,0.3111431896686554,4,1,1,[0.28185079991817474],"[('cars/bike-with-convenient-wine-holder_5747868888_o.jpg', {'399', '398'}), ('cars/1972-porsche-spyder-718-rsk-replica_2937995287_o.jpg', {'91'}), ('cars/1957-chevrolet-bel-air_2938840328_o.jpg', {'68', '71', '72', '69', '70'})]"
"Map(IsObject(Car), Union[IsObject(Person), IsObject(Bicycle)], GetContains)",cars,CCE,0.45,1.3138148285506555,26.982875787578756,SmartLabel,True,5.02943392470479,0.04340703785419464,1,1,0,[],"[('cars/1957-chevrolet-bel-air_2938840328_o.jpg', {'69', '71'}), ('cars/5421932595_68f7ab545d_c.jpg', {'253'})]"
"Intersection[EyesOpen, Complement(Map(IsObject(Car), EyesOpen, GetContains))]",cars,CCE,0.45,1.3201201739352832,27.43777442961687,SmartLabel,True,4.910138353705406,14.377013131976128,1335,3,4,"[6.126598868519068, 5.165274485945702, 2.629416611045599, 0.2615334503352642]","[('cars/leggy-biker_6262285232_o.jpg', {'898'}), ('cars/1957-chevrolet-bel-air_2938840328_o.jpg', {'72'}), ('cars/bob-at-the-tidal-basin_3006015262_o.jpg', {'624'}), ('cars/n02834778_1724.JPEG', {'1012', '1011'}), ('cars/5421932595_68f7ab545d_c.jpg', set()), ('cars/interesting-foldy-bike_5079464538_o.jpg', set())]"
"Map(IsObject(Person), IsObject(Car), GetIsContained)",cars,CCE,0.45,1.3259000738711926,27.854764851485147,SmartLabel,True,5.693088635802269,3.9617072008550167,72,1,3,"[3.0488130003213882, 0.6482565589249134, 0.22881023958325386]","[('cars/classic-car-rally-2008_2938842248_o.jpg', {'657'}), ('cars/1957-chevrolet-bel-air_2938840328_o.jpg', {'64'}), ('cars/msa-classic-car-rally-2009_3942380148_o.jpg', set()), ('cars/msa-classic-car-rally-2009_3942383096_o.jpg', {'978'}), ('cars/014_2938008229_o.jpg', {'0'})]"
"Map(Map(IsObject(Helmet), IsObject(Person), GetBelow), IsObject(Bicycle), GetBelow)",cars,CCE,0.45,1.3312175818122287,28.23839603960396,SmartLabel,True,4.733449447900057,30.0982100404799,1018,2,16,"[7.246174871921539, 2.978085730224848, 2.551861811429262, 1.751376174390316, 1.8830848261713982, 1.2161768972873688, 1.2987167350947857, 1.7112530879676342, 1.2115757875144482, 1.0273779667913914, 1.1258194632828236, 1.3076036386191845, 1.2490481324493885, 0.9551920332014561, 1.2804048918187618, 1.2720329426229]","[('cars/friends_1458870589_o.jpg', {'797'}), ('cars/biker-in-blue_1458867877_o.jpg', {'400'}), ('cars/9127573526_1e2be02f74_c.jpg', {'313'}), ('cars/biking-along-the-potomac_3981716063_o.jpg', {'505'}), ('cars/biking-at-hains-point_3994789631_o.jpg', set()), ('cars/look-up-from-your-smartphone_6824473546_o.jpg', set()), ('cars/bike-dc_3906452651_o.jpg', {'338'}), ('cars/bikes_3938109841_o.jpg', {'468', '469'}), ('cars/biking-away_4672030207_o.jpg', set()), ('cars/bob-and-my-breezer-zig7-folding-bike_3005179513_o.jpg', set()), ('cars/colorful-bike_5834774314_o.jpg', set())]"
