GT Program,Benchmark Info,Semantics,Delta,Avg. Per Component Pred. Set Size,Avg. Per Input Pred. Set Size,Question Selector,Correct?,Initial Synthesis Time,Active Learning Time,Initial Program Space Size,Final Program Space Size,# Rounds,Time Per Round
(fold max (apply pred_int input-img) (filter (curry ge 9) (map_imgs pred_int input-list))),,CCE,0.004,2.7274999999999996,53.970000000000006,SmartLabel,True,5.885450538247824,11.336197812110186,141,47,1,[4.138376787304878]
(fold plus 0 (map (curry plus (apply pred_int input-img)) (map_imgs pred_int input-list))),,CCE,0.004,2.7274999999999996,53.970000000000006,SmartLabel,True,9.004978142678738,9.40702210366726,1251,6,3,"[7.116565451025963, 1.0121438913047314, 0.2944526709616184]"
(length (filter (curry le (apply pred_int input-img)) (map_imgs pred_int input-list))),,CCE,0.004,2.7274999999999996,53.97000000000001,SmartLabel,True,7.031506720930338,50.369802854955196,544,7,25,"[8.152104705572128, 6.807063579559326, 0.669899471104145, 1.3568722754716873, 1.2285529896616936, 0.43950536474585533, 0.27772749215364456, 0.334274485707283, 0.2919650115072727, 0.2454562708735466, 0.6951429024338722, 1.9133537597954273, 2.2667807675898075, 2.367907151579857, 2.40131950750947, 2.4373711943626404, 2.4455589801073074, 2.655269253998995, 2.53514950722456, 2.7411953397095203, 2.738271079957485, 3.3983630128204823, 1.2653030939400196, 0.567052748054266, 0.1378437988460064]"
(fold mult 1 (map (curry mult 7) (map_imgs pred_int input-list))),,CCE,0.004,2.7274999999999996,53.97000000000001,SmartLabel,True,5.280938073992729,1.8755249381065369,12,10,1,[0.39726605266332626]
(length (filter (curry le 9) (filter (curry ge 5) (map_imgs pred_int input-list)))),,CCE,0.004,2.7274999999999996,53.97000000000001,SmartLabel,True,4.51518590003252,25.730634424835443,485,59,3,"[8.287557937204838, 5.966637320816517, 3.701533015817404]"
(fold max 0 (filter (curry le 2) (map_imgs pred_int input-list))),,CCE,0.004,2.7275,53.97,SmartLabel,True,10.345880467444658,29.799942303448915,664,26,8,"[5.882372818887234, 7.748676639050245, 1.3496317490935326, 2.0609518475830555, 2.061434034258127, 2.0337214656174183, 2.4682763032615185, 2.6361699774861336]"
(fold plus 0 (filter (curry ge 8) (map_imgs pred_int input-list))),,CCE,0.004,2.7275,53.97,SmartLabel,True,7.445229172706604,42.98761149123311,10709,41,21,"[9.300806805491447, 6.133063495159149, 3.8702417127788067, 2.61436403170228, 3.298196915537119, 2.6916631311178207, 1.6008748225867748, 1.445606280118227, 0.9439218640327454, 2.7833597250282764, 1.1375658623874187, 0.5154539383947849, 0.7706811353564262, 0.552003338932991, 0.526723351329565, 0.6382335536181927, 0.8421283960342407, 0.804494921118021, 1.4876725599169731, 0.7528865970671177, 0.18224559724330902]"
(fold max 0 (map (curry mult 2) (map_imgs pred_int input-list))),,CCE,0.004,2.7275,53.97,SmartLabel,True,89.0892495252192,92.21867351979017,3937,51,8,"[20.555076207965612, 9.01494288444519, 4.595535073429346, 5.440637763589621, 4.128652647137642, 6.591250151395798, 17.530254296958447, 17.60693460330367]"
(fold max 0 (map (curry mult 2) (filter (curry ge 5) (map_imgs pred_int input-list)))),,CCE,0.004,2.7275,53.970000000000006,SmartLabel,True,23.437431946396828,22.643999215215445,3118,2,4,"[20.76681872084737, 1.0188984908163548, 0.356565248221159, 0.20513810962438583]"
(length (filter (curry ge 1) (map_imgs pred_int input-list))),,CCE,0.004,2.7275,53.970000000000006,SmartLabel,True,15.080077029764652,42.456064231693745,1345,94,5,"[6.763282597064972, 4.523642245680094, 6.347368270158768, 6.139836743474007, 6.012870013713837]"
(fold mult 1 (map_imgs pred_int input-list)),,CCE,0.004,2.7275,53.970000000000006,SmartLabel,FAIL,6.0955978855490685,7.2479248046875e-05,0,4,0,[]
(fold max 0 (map_imgs pred_int input-list)),,CCE,0.004,2.7274999999999996,53.970000000000006,SmartLabel,True,35.19440694525838,130.07264878600836,1675,131,8,"[7.278020527213812, 10.587039329111576, 7.240609776228666, 9.898893263190985, 6.559508863836527, 11.267214093357325, 30.00401445105672, 30.253976952284575]"
